charmer,application
spiculecharms,drill-hbase
spiculecharms,hue
spiculecharms,oozie
spiculecharms,saiku-basic-sql
spiculecharms,saiku-drill
spiculecharms,saiku-drill-hadoop
spiculecharms,saiku-enterprise
squid-reverseproxy-charmers,squid-reverseproxy
szeestraten,ceph-lxd
tcuthbert,sentry
telegraf-charmers,telegraf
tengu-team,arangodb
tengu-team,automate-spark-jobs
tengu-team,chronograf
tengu-team,controller-aws
tengu-team,controller-azure
tengu-team,controller-google
tengu-team,create-custom-data-flows
tengu-team,elasticsearch
tengu-team,kapacitor
tengu-team,mattermost
tengu-team,sojobo-api
tengu-team,ssl-termination-fqdn
tengu-team,ssl-termination-proxy
tengu-team,ssl-termination-proxy-example
tengu-team,telegraf
thedac,aodh
thedac,ceilometer
thedac,cinder
thedac,designate-neutron-dns
thedac,glance
thedac,gnocchi
thedac,neutron-api
thedac,neutron-dynamic-routing
thedac,neutron-gateway
thedac,percona-cluster
thedac,rabbitmq-server
thedac,swift-storage
thedac,vault
vault-charmers,vault
vtas-hyperscale-ci,hyperscale-controller
wiilink,calico
xavpaice,aodh
xavpaice,aodh-sf00182054
xavpaice,ceilometer
xavpaice,designate
xavpaice,gnocchi
xavpaice,gnocchi-sf00182054
xavpaice,grafana
xavpaice,haproxy
xavpaice,heat
xavpaice,juju-controller
xavpaice,openstack-service-checks
xavpaice,prometheus-ceph-exporter
yellow,docker-registry
ykato-aims,kubernetes-core
yoshikadokawa,charms-clamav
